ID,DATE,Title,Author,Subjects,Publisher,Language
skatings00heatrich,1892,Skating,"Heathcote, John Moyer, 1834-1912;Tebbutt, C. G;Buck, Henry A;Kerr, John, 1852-1920;Hake, Ormond;Witham, T. Maxwell",Winter sports;Skating,"London : Longmans, Green and Co.",eng
achristmascarol03dickgoog,1893,A Christmas Carol and The Cricket on the Hearth,Charles Dickens,,Houghton Mifflin,English
legendofchristch1893harr,1893,The legend of the Christ child : a story for Christmas Eve : adapted from the German,"Harrison, Elizabeth, 1849-1927",Jesus Christ;Christmas stories,Chicago : [Chicago Kindergarten College],eng
christmassouveni00hart,1893,"Christmas souvenir, 1893",Hartford Fire Insurance Company,,"Hartford, Conn. : Hartford Fire Insurance Co.",eng
cu31924013445899,1893,The wandering Jew; a Christmas carol,"Buchanan, Robert Williams, 1841-1901",,"London, Chatto & Windus",eng
christmasatthom00trolgoog,1893,Christmas at Thompson Hall;,"Trollope, Anthony, 1815-1882",Christmas stories,"Boston, J. Knight company",eng
christmaseveryda00howeiala,1893,Christmas every day : and other stories ; told to children,"Howells, William Dean, 1837-1920",,New York : Harper & Brothers Publishers,eng
wanderingjewchri00buchrich,1893,The wandering Jew; a Christmas carol,"Buchanan, Robert Williams, 1841-1901",,"London, Chatto & Windus",eng
wanderingjewach00buchgoog,1893,The wandering Jew; a Christmas carol,"Buchanan, Robert Williams, 1841-1901",,"London, Chatto & Windus",eng
christmaseveryda00howe2,1893,"Christmas every day, and other stories told for children","Howells, William Dean, 1837-1920",Christmas stories;Short stories,New York : Harper,eng
christchristmasp00edd,1893,"Christ and Christmas, a poem","Eddy, Mary Baker, 1821-1910",,"Boston, Mass. [Concord, N.H., E. N. Pearson, printer]",eng
holychildacanta00parkgoog,1893,The Holy Child: A Cantata for Christmastide : Op. 37,"Horatio William Parker,  Isabella Grahame Parker",,G. Schirmer,English
christmasaddress00drapiala,1893,A Christmas address : science and the elementary schools : delivered at a general meeting of the teachers of the Cleveland Public Schools,"Draper, A. S. (Andrew Sloan), 1848-1913",,"[Cleveland, Ohio : Board of Education",eng
wanderingjewchri00buch,1893,The wandering Jew : a Christmas carol,"Buchanan, Robert Williams, 1841-1901",,London : Chatto & Windus,eng
wanderingjewach01buchgoog,1893,The wandering Jew; a Christmas carol,"Buchanan, Robert Williams, 1841-1901",,"London, Chatto & Windus",eng
christchristmasp00eddy,1893,"Christ and Christmas, a poem","Eddy, Mary Baker, 1821-1910",,"Boston, Mass. [Concord, N.H., E. N. Pearson, printer]",eng
carrotsjustlittl00molerich,1893,"\""Carrots\"", Just a little boy and A Christmas child","Molesworth, Mrs., 1839-1921",,"New York, London, Macmillan and Co.",eng
cu31924023987377,1894,"The splendid paupers : a tale of the coming plutocracy : being the Christmas number of the Review of reviews, 1894","Stead, W. T. (William Thomas), 1849-1912",,London : Review of reviews,eng
christmasstories00dickiala,1894,"Christmas stories from \""Household words\"" and \""All the year round\"" and other stories","Dickens, Charles, 1812-1870;Dickens, Charles, 1812-1870;Dickens, Charles, 1812-1870",,London : Chapman & Hall,eng
sketchbook00wentgoog,1894,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
ancestorsofadelb00thay,1894,"Ancestors of Adelbert P. Thayer, Florine Thayer McCray and Geo. Burton Thayer, children of John W. Thayer and Adaline Burton : also, reminiscences of a Christmas Eve at Windermere and some early events in the life of the writer","Thayer, George B. (George Burton), 1853-1928",Thayer family,"Hartford, Conn. : Press of the Plimpton Mfg. Co.",eng
christmasatthom01trolgoog,1894,Christmas at Thompson Hall; a tale,"Trollope, Anthony, 1815-1882",,"Boston, J. Knight Company",eng
margaretarnolds00bringoog,1894,"Margaret Arnold's Christmas, and other stories","Brine, Mary Dow (Northam) Mrs",,"New York, E.P. Dutton & company",eng
christmascardsa00whitgoog,1894,Christmas Cards and Their Chief Designers,Gleeson White,,"Offices of \The studio,\",English
cu31924000879910,1894,"Life in motion; or, Muscle and nerve; a course of six lectures delivered before a juvenile auditory at the Royal Institution of Great Britain during the Christmas holidays of 1891-93","McKendrick, John Gray, 1841-1926",Muscles,"London, A. and C. Black",eng
dreamvisionsofch00jone,1894,Dream-visions of Christmastide,"Jones, Joseph Matthias. [from old catalog]",Christmas,"[Lexington, Ky.",eng
sketchbookgeoff10irvigoog,1894,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
whatchristmassay00town,1894,What Christmas says to New Year,"Townsend, Virginia F. (Virginia Frances), 1836-1920",New Year;Christmas,"Boston, Lee and Shepard",eng
bethlehemchristm00kirk,1894,Bethlehem : a Christmas poem,"Kirk, Henry S",Christmas,"Oakland, Cal. : M.A. McInnis",eng
pollychristmasre00pageiala,1894,Polly; a Christmas recollection,"Page, Thomas Nelson, 1853-1922",,New York : Scribner,eng
pollychristmas00pagerich,1894,Polly . A Christmas recollection,"Page, Thomas Nelson, 1853-1922",,"New York, C. Scribner's Sons",eng
christmashirelin00bradrich,1894,The Christmas hirelings,"Braddon, M. E. (Mary Elizabeth), 1835-1915",,"London, Simpkin, Marshall, Hamilton, Kent & co.",eng
splendidpaupers00steagoog,1894,The Splendid Paupers: A Tale of the Coming Plutocracy. Being the Christmas Number of the Review ...,William Thomas Stead,,Review of Reviews,English
oldchristmasfrom00irviiala,1894,Old Christmas : from the sketch book of Washington Irving,"Irving, Washington, 1783-1859;Caldecott, Randolph, 1846-1886",,London : Macmillan,eng
pollyachristmas00pagegoog,1894,Polly; a Christmas recollection,"Page, Thomas Nelson, 1853-1922",,New York : Scribner,eng
firstsouvenirchr00hist,1894,The first souvenir Christmas book of the Historical Society of Western Pennsylvania,Historical Society of Western Pennsylvania,,[Pittsburgh?,eng
christmasbooksha00dickiala,1894,Christmas books and Hard times,"Dickens, Charles, 1812-1870;Dickens, Charles, 1812-1870",,London : Chapman & Hall,eng
christmaseveothe00stebrich,1894,"Christmas eve, and other poems","Stebbins, Charles M. (Charles Maurice), 1871-",,Salt Lake City : Kelly & Co.,eng
sketchbookgeoff08irvigoog,1894,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
carlottasintend00stuagoog,1894,"Carlotta's intended, and other tales","Stuart, Ruth (McEnery) 1856-1917","Christmas stories, American","Freeport, N.Y., Books for Libraries Press",eng
bethlehemchristm00kirkrich,1894,Bethlehem : a Christmas poem,"Kirk, Henry S",Christmas,"Oakland, Cal. : M.A. McInnis",eng
colonelschristm00kinggoog,1894,The Colonel's Christmas Dinner: And Other Stories,Charles King,,J. B. Lippincott company,English
christmaseveothe00steb,1894,"Christmas eve, and other poems","Stebbins, Charles Maurice, 1871- [from old catalog]",,"Salt Lake City, Kelly & company",eng
colonelschristm01kinggoog,1894,"The colonel's Christmas dinner, and other stories","King, Charles, 1844-1933. ed","Short stories, American","Philadelphia, J. B. Lippincott company",eng
bethlehemachris00kirkgoog,1894,Bethlehem : a Christmas poem,"Kirk, Henry S",Christmas,"Oakland, Cal. : M.A. McInnis",eng
ginevraoroldoakc00wall,1894,"Ginevra, or, The old oak chest, a Christmas story","Wallace, Susan E. (Susan Elston), 1830-1907",,"New York, Hagemann",eng
ninesonnetswritt00guinrich,1895,Nine sonnets written at Oxford. Christmas MDCCCXCV,"Guiney, Louise Imogen, 1861-1920;University Press (Cambridge, Mass.) (1895) bkp CU-BANC",,"[Cambridge, Mass., H. Copeland and F. H. Day, priv. print.]",eng
bachelorschrist03grangoog,1895,"The bachelor's Christmas, and other stories","Grant, Robert, 1852-1940",,"New York, Charles Scribner's Sons",eng
abudgetchristma00ewingoog,1895,A Budget of Christmas tales,"Dickens, Charles, 1812-1870;Schayer, Julia Thompson von Stosch, 1840-1928;Stowe, Harriet Beecher, 1811-1896;Molesworth, Mrs., 1839-1921;Wilcox, Ella Wheeler, 1850-1919;Collingwood, Herbert W. (Herbert Winslow), 1857-1927;Ewing, Juliana Horatia Gatty, 1841-1885",Christmas stories,"New York, The Christian Herald",eng
cu31924021990001,1895,"The bachelor's Christmas, and other stories","Grant, Robert, 1852-1940",,"New York, C. Scribner's sons",eng
bachelorschristm1895gran,1895,"The bachelor's Christmas, and other stories","Grant, Robert, 1852-1940",,"New York, Charles Scribner's Sons",eng
newenglandsrural00murr,1895,New England's rural winter : a poem,"Murray, John Chick, b. 1860",Winter,"Portland, Maine : Transcript Company",eng
christmasonwheel00alleiala,1895,Christmas on wheels,"Allen, Willis Boyd, 1855-1938",,Boston : [s.n.],eng
bachelorschrist04grangoog,1895,"The bachelor's Christmas, and other stories","Grant, Robert, 1852-1940",,"New York, Charles Scribner's Sons",eng
bachelorsxmas00granrich,1895,"The bachelor's Christmas, and other stories","Grant, Robert, 1852-1940",,"New York, Charles Scribner's Sons",eng
supperfliesandot00blakrich,1895,"Supper flies and other pieces, A Christmas booklet of original verse","Blake, Louisa",,"Wellington, New Zealand, Edwards Russell",eng
songsofholynativ00bern,1895,"The songs of the holy nativity, considered : I. as recorded in scripture, II. as in use in the church","Bernard, Thomas Dehany","Jesus Christ;Carols;Christmas music;Hymns, English",London ; New York : [s.n.],eng
budgetofchristma00dick,1895,A Budget of Christmas tales,"Dickens, Charles, 1812-1870;Schayer, Julia Thompson von Stosch, 1840-1928;Stowe, Harriet Beecher, 1811-1896;Molesworth, Mrs., 1839-1921;Wilcox, Ella Wheeler, 1850-1919;Collingwood, Herbert Winslow, 1857-;Ewing, Juliana Horatia Gatty, 1841-1885",Christmas stories,New York : The Christian Herald,eng
christmasweekatb00spraiala,1895,Christmas week at Bigler's Mill; a sketch in black and white,"Spratt, Dora E. W;American Baptist Publication Society",Christmas stories,Philadelphia : American Baptist Publication Society,eng
roundyulelogchri00asbj,1895,'Round the yule-log : Christmas in Norway,"Asbj\u00f8rnsen, Peter Christen, 1812-1885;Br\u00e6kstad, H. L",Christmas stories,Boston : Dana Estes and Co.,eng
cu31924022183838,1896,Solomon Crow's Christmas pockets and other tales,"Stuart, Ruth McEnery, 1856-1917",African Americans,New York : Harper,eng
solomoncrowschr01stuagoog,1896,"Solomon Crow's Christmas pockets, and other tales","Stuart, Ruth McEnery, 1856-1917",,"New York, Harper & Brothers",eng
christmasmasqueo00davi,1896,"A Christmas masque of Saint Roch, P\u00e8re Dagobert, and Throwing the wanga","Davis, M. E. M. (Mollie Evelyn Moore), 1852-1909",,"Chicago, A. V. McClurg and company",eng
sonnyachristmas00stuagoog,1896,Sonny : a Christmas guest,"Stuart, Ruth McEnery, 1856-1917;Cory, Fanny Y., ill;Decorative Designers (Firm). bdd;Century Company. pbl;De Vinne Press. prt",,New York : The Century Co.,eng
christmasbooksm00thacgoog,1896,The Christmas Books of Mr. M. A. Titmarsh: Mrs. Perkins Ball. Our Street. Dr. Birch and His ...,William Makepeace Thackeray,,Estes & Lauriat,English
bachelorschrist02grangoog,1896,The Bachelor's Christmas,Robert Grant,,C. Scribner's sons,English
oldchristmas00irvi,1896,Old Christmas,"Irving, Washington, 1783-1859","Christmas stories, American;Christmas",Altemus,eng
sketchbook00chalgoog,1896,"Washington Irving's The legend of Sleepy Hollow and other stories (The sketch-book of Geoffrey Crayon, gent.)","Irving, Washington, 1783-1859",Christmas;Large type books,"Thorndike, Me. : G.K. Hall",eng
solomoncrowschr00stuagoog,1896,"Solomon Crow's Christmas pockets, and other tales","Stuart, Ruth (McEnery) 1856-1917",,"Freeport, N.Y., Books for Libraries Press",eng
charlesdickenss03dickgoog,1896,"Charles Dicken's stories from the Christmas numbers of \""Household words\"" and \""All the year round,\"" 1852-1867;","Dickens, Charles, 1812-1870;Dickens, Charles, 1837-1896",,"New York, London, Macmillan",eng
staroflightcanta00root,1896,"The star of light : a cantata for adults, commemorative of the birth of Christ","Root, George F.(George Frederick),1820-1895. ; Bogg, J. Stuart(John Stuart) ; Root, Frederic W.(Frederic Woodman),1846-1916.","Cantatas, Sacred--Scores.;Christmas music",J. Church,Eng
peaceeggandchris00ewiniala,1896,The peace egg and a Christmas mumming play,"Ewing, Juliana Horatia Gatty, 1841-1885;Society for Promoting Christian Knowledge (Great Britain);Evans, Edmund, 1826-1905;Browne, Gordon, 1858-1932",Christmas stories;Christmas plays;Mumming plays;Conduct of life,London : Society for Promoting Christian Knowledge ; New York : E. & J. B. Young & Co.,eng
charlesdickensst00dick,1896,"Charles Dicken's stories from the Christmas numbers of \""Household words\"" and \""All the year round\""","Dickens, Charles, 1812-1870;Dickens, Charles, 1812-1870, ed",,"New York, London, Macmillan and co.",eng
christmasmasqueo00daviiala,1896,"A Christmas masque of Saint Roch, P\u00e8re Dagobert and Throwing the Wanga","Davis, M. E. M. (Mollie Evelyn Moore), 1844-1909",,Chicago : McClurg,eng
christchristmasp01eddy,1897,"Christ and Christmas, a poem","Eddy, Mary Baker, 1821-1910",,"Concord, N.H. [E.N. Pearson, printer]",eng
realghoststories00stea,1897,"Real ghost stories, revised reprint of the Christmas and New Year's numbers of the \""Review of reviews\"" 1891-2","Stead, W. T. (William Thomas), 1849-1912",Spiritualism,"London, G. Richards",eng
balladofmarymoth00buch,1897,The ballad of Mary the Mother; a Christmas carol,"Buchanan, Robert Williams, 1841-1901",,London : R. Buchanan,eng
holidaytaleschri00murriala,1897,Holiday tales. Christmas in the Adirondacks,"Murray, W. H. H. (William Henry Harrison), 1840-1904",,"[Springfield, Mass. : Springfield printing and binding company]",eng
cu31924022150647,1897,Holiday tales. Christmas in the Adirondacks,"Murray, W. H. H. (William Henry Harrison), 1840-1904",,"[Springfield, Mass., Springfield Print. and Bind. Co.]",eng
greenbookorfreed00jkrich,1897,"The green book; or, Freedom under the snow, a novel;","J\u00f3kai, M\u00f3r, 1825-1904;Waugh, Ellen, Mrs;J\u00f3kai, M\u00f3r, 1825-1904","Russia -- History December Uprising, 1825 Fiction","New York, Harper & brothers",eng
historyoftownoff00jone,1897,History of the town of Frankfort,"Jones, Erasmus",Frankfort (Me.) -- History;Winterport (Me.) -- History,Winterport [Me.] Advertiser job print,eng
balladmarymothe00buchgoog,1897,The Ballad of Mary the Mother: A Christmas Carol,Robert Williams Buchanan,,Author,English
sketchesinprosej00rile,1897,Sketches in prose: Jamesy - A Christmas story - and others,"Riley, James Whitcomb, 1849-1916",,C. Scribner's,eng
firstchristmast00dykegoog,1897,The First Christmas Tree,Henry van Dyke,,C. Scribner's Sons,English
holidaytaleschr00murriala,1897,Holiday tales. Christmas in the Adirondacks,"Murray, W. H. H. (William Henry Harrison), 1840-1904",Christmas stories,"[Springfield, Mass. : Springfield printing and binding company]",eng
christmas189700bridrich,1897,"Christmas, 1897","Bridges, Robert Seymour, 1844-1930;Daniel, C. H. O. (Charles Henry Olive), 1863-1919",,"Oxford, Daniel",eng
balladmarymothe02buchgoog,1897,The Ballad of Mary the Mother: A Christmas Carol,"Robert Williams Buchanan,  Robert Buchanan",,R. Buchanan,eng
christmasenterta00kell,1897,Christmas entertainment,"Kellogg, Alice Maude, 1862-1911",Amusements;Recitations,"New York, Chicago, E.L. Kellogg & co",eng
balladmarymothe01buchgoog,1897,The Ballad of Mary the Mother: A Christmas Carol,"Robert Williams Buchanan,  Robert Buchanan",,R. Buchanan,eng
lightvisibleinvi00thomrich,1897,"Light visible and invisible; a series of lectures delivered at the Royal Institution of Great Britain, at Christmas, 1896","Thompson, Silvanus Phillips, 1851-1916;Royal Institution of Great Britain",Light;X-rays,"New York, London : Macmillan",eng
cu31924022207017,1897,The first Christmas tree,"Van Dyke, Henry, 1852-1933;Pyle, Howard, 1853-1911",,"New York, c. Scribner's sons",eng
catalogueofsunda00jpbm,1897,Catalogue of Sunday School supplies for Christmas 1897.,"J. & P.B. Myers (New York, N.Y.)",Sunday schools;Christmas--Catalogs.,The Company,eng
christmascarolsa00toml,1897,Christmas carols ancient and modern,"Tomlins, Wm. L. (William Lawrence), 1844-1930","Carols, English;Christmas music",New York : American Book,eng
cu31924013341783,1897,"Two Christmas hymns; first published in London, in 1837 and 1875","Domett, Alfred, 1811-1887",Christmas,"[Chicago, Lakeside Press",eng
christmasmottool00schw,1897,The Christmas motto and the old prophetic presages of a coming golden era of peace;,"Schwab, Isaac",Bible,"St. Joseph, Mo., Press of Combe printing company",eng
cu31924013445535,1897,"The ballad of Mary, the mother; a Christmas carol","Buchanan, Robert Williams, 1841-1901","Mary, Blessed Virgin, Saint","London, R. Buchanan",eng
solomancrowsxmas00stuarich,1897,"Solomon Crow's Christmas pockets, and other tales","Stuart, Ruth McEnery, 1856-1917",,"New York, Harper & Brothers",eng
princeragnalothe00donn,1898,"Prince Ragnal, and other holiday verse","Donnelly, Eleanor C. (Eleanor Cecilia), 1838-1917",Christmas,"Philadelphia, H. L. Kilner & Co",eng
christmasofferin00rayb,1898,"Christmas offering, 1898","Rayburn, Emma Overman, Mrs. [from old catalog];Diehl, Isabel Overman, [from old catalog] joint author",,"Paxton, Ill.",eng
gleaningschristm00nppriala,1898,Gleanings: A Christmas card for 1898,,"Quotations, English",[n.p.] : Printed for private circulation,eng
stonebechtersqua00ston,1898,Stone & Bechter's quarterly,"Stone & Bechter, publisher","Christmas service;Hymns, English",,eng
lostwordchristma00vand,1898,The lost word : a Christmas legend of long ago,"Van Dyke, Henry, 1852-1933. cn","Christmas stories, American",New York : Scribner,eng
dramaticlyricsd00browgoog,1898,Dramatic lyrics; Dramatic romances; Christmas-eve and Easter-day,"Browning, Robert, 1812-1889;Porter, Charlotte Endymion, 1859-1942, ed;Clarke, Helen Archibald, d. 1926, ed",,"New York, Boston, T.Y. Crowell & Company",eng
dramaticlyricsd01browgoog,1898,Dramatic lyrics; Dramatic romances; Christmas-eve and Easter-day,"Browning, Robert, 1812-1889;Porter, Charlotte Endymion, 1859-1942, ed;Clarke, Helen Archibald, d. 1926, ed",,"New York, Boston, T.Y. Crowell & Company",eng
aroundyulelog00alleiala,1898,Around the yule log,"Allen, Willis Boyd, 1855-1938",Christmas stories,"Boston, Chicago : The Pilgrim press",eng
cu31924013562214,1898,"The Christmas books of Mr. M.A. Titmarsh, etc","Thackeray, William Makepeace, 1811-1863",,"New York and London, Harper",eng
ingersollschrist00lamb,1898,Ingersoll's Christmas sermon,"Lambert, L. A. (Louis Aloisius), 1835-1910","Ingersoll, Robert Green, 1833-1899","Akron, O., Chicago [etc.] D. H. McBride & company",eng
visionofstnichol00coll,1898,A vision of St. Nicholas ..,"Collins, Holdridge Ozro, 1844-",Christmas,"Los Angeles, Calif.",eng
mrkriskringle00mitcrich,1898,Mr. Kris Kringle : a Christmas tale,"Mitchell, S. Weir (Silas Weir), 1829-1914",Christmas stories,Philadelphia : G.W. Jacobs,eng
christmasincorn00bonhgoog,1898,Christmas in Cornwall 60 Years Ago: By Mrs. J. Bonham,E. Bonham,,The Unicorn press,eng
bub_gb_VUIKAAAAIAAJ,1899,Yule and Christmas Their Place in the Germanic Year,Alexander Tille,bub_upload,D. Nutt,English
housewithsixtycl00chil,1899,The house with sixty closets; a Christmas story for young folks and old children,"Child, Frank Samuel, 1854-1922;Brown, J. Randolph, ill",Christmas stories,"Boston, Lee & Shepard",eng
christmasinfren00frgoog,1899,Christmas in French Canada,"Fre\u0301chette, Louis Honore\u0301, 1839-1908",French-Canadians,"Toronto, G.H. Morang & Company, limited",eng
firstchristmasf01wallgoog,1899,The first Christmas;,"Wallace, Lew, 1827-1905;Johnson, William Martin, 1862- [from old catalog] illus",Jesus Christ,"New York and London, Harper & brothers",eng
firstchristmasf02wallgoog,1899,"The First Christmas: From \""Ben-Hur,\""",Lew Wallace,,Harper & brothers,English
cu31924013443423,1899,So this then is Christmas eve,"Browning, Robert, 1812-1889;Browning, Robert, 1812-1889. Christmas eve",,"East Aurora, N.Y., The Roycrofters",eng
santaclausspart00pagegoog,1899,Santa Claus's partner,"Page, Thomas Nelson, 1853-1922",Christmas stories,"New York, C. Scribner's Sons",eng
yuleandchristma00tillgoog,1899,"Yule and Christmas, their place in the Germanic year","Tille, Alexander, 1866-1912","Christmas;Calendar, Germanic","London, D. Nutt",eng
achristmascarol04dickgoog,1899,A Christmas Carol: With Numerous Original Illustrations by George T. Tobin,Charles Dickens,,Frederick A. Stokes company,English
howchristmaswask00plas,1899,How Christmas was kept in heaven,"Plass, Norman, 1860- [from old catalog]",,"New York, Chicago [etc.] F. H. Revell co",eng
santaclauss00pagerich,1899,Santa Claus's partner,"Page, Thomas Nelson, 1853-1922",Christmas stories,New York : C. Scribner's Sons,eng
janetorchristmas00gibb,1899,"Janet, or, The Christmas stockings","Gibbons, Louise Elise",,"New York, Knickerbocker Press",eng
stnicholaschrist01newy,1899,The St. Nicholas Christmas book ..,,Christmas stories,New York : The Century co.,eng
christmasbooksa04dickgoog,1899,Christmas Books and Stories,Charles Dickens,,Doubleday & McClure,English
inchristmaswoods00knaprich,1899,In the Christmas woods; being the introductory essay of a series on observations of nature through the year,"Knapp, Adeline, 1860-1909;Stanley-Taylor Co. (1899) bkp CU-BANC;Keith, William, 1838-1911",Natural history,"San Francisco, Cal., Press of the Stanley-Taylor Company",eng
babousckarussian00newyiala,1899,"Babouscka; a Russian Christmas story, and other stories",,Christmas stories,New York : Werner Co.,eng
alwildaorherfirs00frie,1899,"Alwilda; or, Her first holy communion! and A Christmas carol!","[Friedrich, Pancratius] d 1902. [from old catalog]",,"Chicago, Kessler brothers",eng
yulechristmasthe00tillrich,1899,"Yule and Christmas, their place in the Germanic year","Tille, Alexander, 1866-1912","Christmas;Calendar, Germanic",London : D. Nutt,eng
christmasbooksa03dickgoog,1899,Christmas Books and Stories,Charles Dickens,,Doubleday & McClure,English
bettyleicestersc00jewe,1899,Betty Leicester's Christmas,"Jewett, Sarah Orne, 1849-1909",,Boston and New York : Houghton Mifflin and Company,eng
salvationarmyinu00boot,1899,"The Salvation Army in the United States : Christmas, 1899","Booth-Tucker, Frederick St. George De Lautour, 1853-1929",Salvation Army;Christian sociology;Church and social problems,New York City : Salvation Army Print. and Engraving Dept.,eng
babousckaarussi00unkngoog,1899,"Babouscka: A Russian Christmas Story, and Other Stories",,,Werner Co.,English
cu31924013345107,1899,Christmas in French Canada,"Fre\u0301chette, Louis Honore\u0301, 1839-1908",French-Canadians,"Toronto, G.N. Morang",eng
janetorchristma00gibbgoog,1899,"Janet, Or, The Christmas Stockings",Louise Elise Gibbons,,Knickerbocker Press,English
mystudywindo00loweiala,1899,My study windows,"Lowell, James Russell, 1819-1891","Quincy, Josiah, 1772-1864;Carlyle, Thomas, 1795-1881;Lincoln, Abraham, 1809-1865;Percival, James Gates, 1795-1856;Thoreau, Henry David, 1817-1862;Swinburne, Algernon Charles, 1837-1909;Chaucer, Geoffrey, d. 1400;Emerson, Ralph Waldo, 1803-1882;Pope, Alexander, 1688-1744;Birds;Winter","Boston, New York : Houghton, Mifflin ; Cambridge,Mass., Riverside Press",eng
stnicholaschrist00newy,1899,The St. Nicholas Christmas book ..,,Christmas stories,New York : The Century co.,eng
storybethlehema00wensgoog,1899,"The story of Bethlehem: a short cantata for Christmas services, &c","John Ebenezer West ,  Shapcott Wensley",,"Novello, Ewer",English
cu31924090734330,1899,Betty Leicester's Christmas,"Jewett, Sarah Orne, 1849-1909;Betts, Anna Whelan, ill",,"Boston and New York : Houghton, Mifflin and Company ; [Cambridge] : The Riverside Press ...",eng
christmassermon00stev2,1900,A Christmas sermon,"Stevenson, Robert Louis, 1850-1894",Christmas sermons;Conduct of life,New York : C. Scribner's Sons,eng
christmasunderth00wilc,1900,"Christmas under three flags : being memories of holiday festivities in the White House with \""Old Hickory,\"" in the palace of H.R.H. Prince of Prussia, afterwards Emperor William I, and at the Alamo with the Alcalde's daughter","Wilcox, Mary Emily Donelson, 1829-1905","Wilcox, Mary Emily Donelson, 1829-1905;Jackson, Andrew, 1767-1845;Christmas",Washington : Neale Co.,eng
bellsch00newy,1900,Christmas bells : a Christmas carol service with processional and recessional hymns,,"Hymns, English;Carols, English",New York : Novello & Co.,eng
christmasstorie00dick,1900,Christmas stories,"Dickens, Charles, 1812-1870",,New York : J.W. Lovell,eng
nocaro00newy,1900,No\u00ebl : a Christmas carol service,,"Hymns, English;Carols, English",New York : Novello & Co.,eng
christmassermon00stev,1900,A Christmas sermon,"Stevenson, Robert Louis, 1850-1894",,New York : Charles Scribner's sons,eng
christmasacciden00trumiala,1900,"A Christmas accident, and other stories","Trumbull, Annie Eliot, 1857-1949",,New York : A.S. Barnes and Company,eng
christmassermon00stevrich,1900,A Christmas sermon,"Stevenson, Robert Louis, 1850-1894;Merrymount Press;Updike, Daniel Berkeley, 1860-1941",,"New York, C. Scribner's sons",eng
christmascarol00dick2,1900,A Christmas carol,"Dickens, Charles, 1812-1870;Coburn, Frederick Simpson",Christmas stories;Misers,New York : Putnam,eng
amonographchris00andrgoog,1900,A monograph of Christmas Island (Indian Ocean): physical features and geology,"British Museum (Natural History) Dept. of geology;Andrews, Charles William, 1866-1924",Natural history,"London, Printed by order of the Trustees",eng
nativity00newy,1900,The nativity : a Christmas carol service for children,,"Hymns, English;Carols, English",New York : Novello & Co.,eng
christmasangel00pyle,1900,The Christmas angel;,"Pyle, Katharine, d. 1938",,"Boston, Little, Brown & co.",eng
monographofchris00brit,1900,A monograph of Christmas Island (Indian Ocean):,"British Museum (Natural History). Dept. of Geology;Andrews, Charles William, 1866-;Metcalf Collection (North Carolina State University). NCRS",Natural history,"London, Printed by order of the Trustees",eng
christm00newy,1900,Community Christmas carols,,"Hymns, English;Carols, English",New York : Novello & Co.,eng
christmasstoryf00westgoog,1900,The Christmas Story from David Harum,Edward Noyes Westcott,,,English
mornchr00newy,1900,Christmas morn : a Christmas carol service,,"Hymns, English;Carols, English",New York : Novello & Co.,eng
wintermutefamily00wint,1900,The Wintermute family history,"Wintermute, J. P. (Jacob Perry), b. 1832",Wintermuth family,"Delaware, Ohio",eng
abrahamlincxxxxx00linc,1900,Abraham Lincoln before 1860,Lincoln Financial Foundation Collection,"Lincoln, Abraham, 1809-1865;Winter storms",,eng
christmasbooksof00dick,1900,Christmas books of Charles Dickens,"Dickens, Charles, 1812-1870",,"Roslyn, N.Y. : Black's Readers Service Co.",eng
christmascarols00humpgoog,1900,Christmas Carols,Francis Landon Humphreys,,"Novello, Ewer & co.",English
dreersspecialdec1900henr,1900,"Dreer's \""special\"" December wholesale price list of new '99 crop flower seeds and of decorative plants for Christmas sales",Henry A. Dreer (Firm);Henry G. Gilbert Nursery and Seed Trade Catalog Collection,Bulbs (Plants) Catalogs;Flowers Seeds Catalogs;Nurseries (Horticulture) Catalogs,"Philadelphia, Pa. : Henry A. Dreer",eng
cerstm00newy,1900,Bethlehem : a Christmas carol service,,"Hymns, English;Carols, English",New York : Novello & Co.,eng
dreers1900specia1900henr,1900,Dreer's 1900 special December wholesale price-list of new crop flower seeds and decorative plants for Christmas sales,Henry A. Dreer (Firm);Henry G. Gilbert Nursery and Seed Trade Catalog Collection,Bulbs (Plants) Catalogs;Flowers Seeds Catalogs;Nurseries (Horticulture) Catalogs,"Philadelphia, Pa. : Henry A. Dreer",eng
holynight00powe,1900,Holy night,"Powers, Ella M. (Ella Marie), b. 1865",Christmas,"Concord, N.H., W. E. Hunt",eng
christmasundert00wilcgoog,1900,"Christmas under three flags; being memories of holiday festivities in the White House with \""Old Hickory,\"" in the palace of H. R. H. Prince of Prussia, afterwards Emperor William I, and at the Alamo with the Alcalde's daughter","Wilcox, Mary Emily Donelson",Christmas stories,"Washington, Neale Co.",eng
achristmassermo00stevgoog,1900,A Christmas Sermon,Robert Louis Stevenson,,C. Scribner's Sons,English
